Test started at: 26-02-2024 09:10:51 - Finished at 26-02-2024 09:29:07
Results for simulation time 1000.0 s:
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=9, nodes=200) Results(duration=4470, steps=400001)
Average:
(scafi, fieldEvolution) 2716.0
(protelis, fieldEvolution) 605.0
(collektive, fieldEvolution) 134.0
(scafi, neighborCounter) 4615.0
(protelis, neighborCounter) 1478.0
(collektive, neighborCounter) 1422.0
(scafi, branching) 4853.0
(protelis, branching) 1200.0
(collektive, branching) 390.0
(scafi, gradient) 6419.0
(protelis, gradient) 3462.0
(collektive, gradient) 2296.0
(scafi, channelWithObstacles) 19045.0
(protelis, channelWithObstacles) 37341.0
(collektive, channelWithObstacles) 8421.0
